,close,date,high,low,open,quoteVolume,volume,weightedAverage
9834,8149.79589098,1523957400,8149.88094146,8140.00000002,8148.32564303,7.9532938,64797.05406608,8147.19733679
9835,8149,1523957700,8149.88094147,8141.02000004,8141.02000004,7.10556179,57904.14662635,8149.12998263
9836,8149.88094144,1523958000,8149.88094146,8148,8148,3.43597465,28000.03820536,8149.08171844
9837,8159.96598038,1523958300,8165.57868394,8148.00000002,8149.88094144,13.92464263,113597.7702147,8158.03846699
9838,8156.1360668,1523958600,8168.57040884,8155,8159.96598038,8.3552971,68187.09231716,8160.9416758
9839,8151,1523958900,8162.99999998,8151,8156.13976024,15.44035681,125942.72371061,8156.72365997
9840,8123.95631874,1523959200,8158.01700835,8106.96833137,8151,13.9551763,113451.43409708,8129.70267506
9841,8100.18750639,1523959500,8116.58440018,8078.25361401,8116,23.70853226,191853.66930898,8092.17825907
9842,8109.98299164,1523959800,8116.36108176,8100.27330169,8116.36108176,13.5541876,109878.77237236,8106.62915513
9843,8099.39051903,1523960100,8109,8080.12017476,8107.96598329,7.97873974,64655.45183799,8103.46670588
9844,8090.13681262,1523960400,8098.71707397,8071,8080.00000018,5.79198917,46814.77204445,8082.67603242
9845,8094,1523960700,8094.93196628,8073.52490399,8090.13681262,1.27911816,10343.31481561,8086.28564511
9846,8095,1523961000,8095,8081.75967912,8094,2.79706548,22622.88809756,8088.07954598
9847,8098.3972127,1523961300,8098.60936329,8088.00000001,8095,1.35650653,10979.58038834,8094.01218904
9848,8100.23813144,1523961600,8108.96598112,8090.2638502,8090.26385021,4.38054734,35513.30825084,8107.04815961
9849,8100.20419573,1523961900,8108.77888347,8100.20419573,8108.77888347,6.31843157,51220.04134517,8106.44869343
9850,8105.09051903,1523962200,8108.69383935,8090,8100.20419573,6.48166385,52531.78224643,8104.67550649
9851,8101.49999974,1523962500,8104.82248486,8100.48500033,8104.82248486,2.56326261,20774.51380177,8104.71534236
9852,8090.0854164,1523962800,8101.49999936,8088.30000001,8101.49999936,0.692657,5607.73142131,8095.97162999
9853,8090.11942962,1523963100,8108.99999996,8090.01700837,8100,3.49813807,28337.76411037,8100.8135023
9854,8109,1523963400,8109,8095.76428454,8109,0.6883324,5579.72484276,8106.14877748
9855,8124.97303999,1523963700,8124.97303999,8111.79794698,8111.79794716,8.96919034,72803.77149318,8117.09515947
9856,8101.71,1523964000,8119.89051903,8099.34331725,8116.76562852,1.6132601,13086.11076653,8111.59388776
9857,8105.49877026,1523964300,8111.79876146,8099.51488345,8099.51488345,1.63763205,13278.89781949,8108.59668965
9858,8109.29945032,1523964600,8109.29945032,8095.58488346,8105.49877026,0.38900971,3152.42458207,8103.71695368
9859,8108.08645865,1523964900,8111.99945032,8100.42781672,8100.42781672,2.86967494,23274.73739789,8110.58321396
9860,8105,1523965200,8111.97764551,8102.60398636,8111.97764551,1.50513943,12202.23670788,8107.0474035
9861,8108.47767389,1523965500,8115.83141114,8105.01700835,8108.0694503,1.87147343,15180.85108871,8111.71072234
9862,8119.39122389,1523965800,8119.51028236,8108.08645865,8108.47767389,1.51217986,12273.58323894,8116.48373556
9863,8110.08440221,1523966100,8120.79945022,8109.88130835,8119.3912239,1.7250534,13997.42984935,8114.20089914
9864,8110.70326873,1523966400,8120.79945023,8110.18719455,8110.18719455,1.64319308,13341.10125879,8119.010128
9865,8140.46087873,1523966700,8144.96524682,8110.73765655,8120,3.52190682,28603.23908798,8121.52068463
9866,8140.47825533,1523967000,8144.99999999,8120.81645858,8140.29999999,1.14283067,9291.02580891,8129.83590028
9867,8138.93159255,1523967300,8139.98262342,8120,8135.9320949,1.84558229,15000.73434217,8127.91411331
9868,8126.10401959,1523967600,8145,8126.10401959,8138.81178892,1.48944715,12118.68666483,8136.36567422
9869,8110.61860939,1523967900,8144.27862036,8110,8144.27862036,2.46806089,20082.44857993,8136.93400406
9870,8130.98262342,1523968200,8138.14786953,8111.2017182,8131.1406427,3.82868805,31112.95966009,8126.27178129
9871,8130,1523968500,8141.88262302,8121.87377853,8137.97249998,1.42818134,11613.84256895,8131.91031396
9872,8131.3816847,1523968800,8142.03086092,8120,8128.635,11.12816612,90447.8577428,8127.83137558
9873,8129.8,1523969100,8140.43159835,8123,8140.43159835,1.11529783,9064.50091313,8127.42629754
9874,8125.54,1523969400,8130,8125.53606505,8129.99999971,2.00223471,16277.36408488,8129.59839502
9875,8097.83141621,1523969700,8130,8095.49,8130,11.01856378,89418.78522396,8115.28498716
9876,8104.96240064,1523970000,8123.94897375,8095.57541577,8095.57541577,2.31136725,18745.62026089,8110.18684326
9877,8104.68112248,1523970300,8123.05455823,8104.01700835,8104.96240064,4.24422089,34434.45613363,8113.25730354
9878,8090,1523970600,8116.98262342,8090,8112.98299165,7.60265668,61590.35055903,8101.16162696
9879,8065.03475347,1523970900,8097.67568715,8056,8095.38684503,10.65166328,85963.67343966,8070.44601203
9880,8095.0277221,1523971200,8098.5925911,8065.06950731,8075,1.33209144,10760.0748364,8077.57974662
9881,8094.84604606,1523971500,8106.08903775,8079.05176479,8079.05176479,1.83605774,14845.61942653,8085.59507857
9882,8101.86077532,1523971800,8101.86077532,8080.23490655,8083.27275617,1.14899948,9290.24365757,8085.50727766
9883,8094.9,1523972100,8105.10119112,8094.20636731,8100,0.35415423,2867.58634701,8096.99872007
9884,8104.96254063,1523972400,8105.08417988,8094.50636731,8094.50893022,4.65323325,37667.66952398,8094.94549278
9885,8105.1185677,1523972700,8105.1185677,8090.36325139,8094.91700835,1.94506287,15756.50642563,8100.76973277
9886,8099.99999999,1523973000,8105,8089,8090.89533046,0.23497936,1902.75174562,8097.5271429
9887,8105,1523973300,8105.1185677,8089,8089.84291834,3.3755024,27346.75639029,8101.53664541
9888,8099.9999992,1523973600,8105.1185677,8090,8105.11856769,7.75640592,62864.00887463,8104.78584063
9889,8080.23490655,1523973900,8099.99999909,8080.23490655,8099.99999909,1.27460874,10310.60318254,8089.2299409
